product_id,product_name,tna,ms_rating,exp_ratio,market_cap
VFIAX,Vanguard 500 Index Admiral,163456368456.00,5,0.05,Giant
VTSAX,Vanguard Total Stock Mkt Idx Adm,136131758268.00,4,0.05,Giant
VINIX,Vanguard Institutional Index I,110407917518.00,5,0.04,Giant
VTSMX,Vanguard Total Stock Mkt Idx Inv,98869371846.00,4,0.16,Giant
VIIIX,Vanguard Institutional Index Instl Pl,93192353649.00,5,0.02,Giant
VGTSX,Vanguard Total Intl Stock Index Inv,81937021336.00,3,0.19,Giant
FCNTX,Fidelity Contrafund,75239109555.00,4,0.71,Giant
AMECX,American Funds Inc Fund of Amer A,74038034448.00,4,0.55,Giant
AGTHX,American Funds Growth Fund of Amer A,72365559881.00,3,0.65,Giant
CAIBX,American Funds Capital Inc Bldr A,71981184245.00,4,0.59,Giant
VWENX,Vanguard Wellington Admiral,71080590156.00,5,0.18,Giant
VBTLX,Vanguard Total Bond Market Index Adm,69560710526.00,3,0.06,Giant
VITSX,Vanguard Total Stock Market Idx I,67616399445.00,4,0.04,Giant
PTTRX,PIMCO Total Return Instl,58804901978.00,4,0.46,Giant
AIVSX,American Funds Invmt Co of Amer A,57215053118.00,3,0.58,Giant
FUSVX,Fidelity Spartan 500 Index Advtg,54672986785.00,5,0.05,Giant
DODGX,Dodge & Cox Stock,53716464116.00,3,0.52,Giant
ABALX,American Funds American Balanced A,53318004773.00,4,0.58,Giant
DODFX,Dodge & Cox International Stock,51604498866.00,3,0.64,Giant
CWGIX,American Funds Capital World G/I A,51573788049.00,4,0.77,Giant
AWSHX,American Funds Washington Mutual A,51367700244.00,4,0.58,Giant
MWTIX,Metropolitan West Total Return Bond I,49461319405.00,5,0.44,Giant
VWIUX,Vanguard Interm-Term Tx-Ex Adm,47003934390.00,4,0.12,Giant
DODIX,Dodge & Cox Income,46108249705.00,4,0.43,Giant
ANCFX,American Funds Fundamental Invs A,45851376284.00,3,0.60,Giant
FKINX,Franklin Income A,44436833774.00,2,0.61,Giant
RERGX,American Funds Europacific Growth R6,43016729890.00,3,0.50,Giant
VTIAX,Vanguard Total Intl Stock Index Admiral,41072489960.00,3,0.12,Giant
VITPX,Vanguard Instl Ttl Stk Mkt Idx InstlPls,38476978339.00,4,0.02,Giant
VGHAX,Vanguard Health Care Adm,37537268457.00,5,0.31,Giant
VFSUX,Vanguard Short-Term Investment-Grade Adm,36404019214.00,4,0.10,Giant
ANWPX,American Funds New Perspective A,35766643538.00,4,0.75,Giant
PRGFX,T. Rowe Price Growth Stock,35560409826.00,4,0.67,Giant
HAINX,Harbor International Institutional,35441665468.00,3,0.76,Large
VWIAX,Vanguard Wellesley Income Admiral,33867142939.00,5,0.16,Large
VBTIX,Vanguard Total Bond Market Index I,33560090583.00,3,0.05,Large
VWNAX,Vanguard Windsor II Admiral,30938154323.00,4,0.26,Large
VDIGX,Vanguard Dividend Growth Inv,30620300837.00,5,0.33,Large
VTTVX,Vanguard Target Retirement 2025 Inv,30439909700.00,5,0.15,Large
FCNKX,Fidelity Contrafund K,30285606478.00,4,0.61,Large
FLPSX,Fidelity Low-Priced Stock,27956501576.00,4,0.79,Large
FXSIX,Fidelity Spartan 500 Index Instl,27221922874.00,5,0.04,Large
VIMAX,Vanguard Mid Cap Index Adm,26851674366.00,4,0.08,Large
VTWNX,Vanguard Target Retirement 2020 Inv,26614769655.00,5,0.14,Large
VFINX,Vanguard 500 Index Inv,26161625157.00,4,0.16,Large
AEPGX,American Funds Europacific Growth A,25678151371.00,2,0.83,Large
AMCPX,American Funds AMCAP A,25577046631.00,3,0.67,Large
PREIX,T. Rowe Price Equity Index 500,25520572294.00,4,0.27,Large
VBMPX,Vanguard Total Bond Market Idx InstlPls,25366147048.00,3,0.04,Large
TRBCX,T. Rowe Price Blue Chip Growth,25091434429.00,4,0.71,Large
PIMIX,PIMCO Income Instl,24369563456.00,5,0.45,Large
TGBAX,Templeton Global Bond Adv,24287719598.00,4,0.64,Large
PRWCX,T. Rowe Price Capital Appreciation,24102203343.00,5,0.70,Large
VFIDX,Vanguard Interm-Term Investment-Grde Adm,23893370289.00,4,0.10,Large
VTHRX,Vanguard Target Retirement 2030 Inv,23677472017.00,4,0.15,Large
VSMAX,Vanguard Small Cap Index Adm,23436347027.00,4,0.08,Large
AMRMX,American Funds American Mutual A,23432533409.00,4,0.58,Large
FCISX,Franklin Income C,23387179647.00,2,1.11,Large
VTTHX,Vanguard Target Retirement 2035 Inv,23364811124.00,4,0.15,Large
OAKIX,Oakmark International I,22561381082.00,3,0.95,Large
SWPPX,Schwab S&P; 500 Index,22343795316.00,4,0.09,Large
HACAX,Harbor Capital Appreciation Instl,21692162844.00,4,0.65,Large
RPMGX,T. Rowe Price Mid-Cap Growth,21631512024.00,5,0.77,Large
FDGRX,Fidelity Growth Company,21487990840.00,5,0.88,Large
TRVLX,T. Rowe Price Value,21143464644.00,4,0.81,Large
VMLUX,Vanguard Ltd-Term Tx-Ex Adm,21077520996.00,4,0.12,Large
FSTVX,Fidelity Spartan Total Mkt Idx Advtg,20720728807.00,4,0.05,Large
SGIIX,First Eagle Global I,20625401843.00,5,0.84,Large
FBALX,Fidelity Balanced,20240568242.00,5,0.56,Large
ABNDX,American Funds Bond Fund of Amer A,20238647439.00,2,0.60,Large
TRRBX,T. Rowe Price Retirement 2020,20071176585.00,4,0.66,Large
VIFSX,Vanguard 500 Index Signal,19786735873.00,4,0.05,Large
FTBFX,Fidelity Total Bond,19442617882.00,4,0.45,Large
FPURX,Fidelity Puritan,19380397785.00,4,0.56,Large
VWELX,Vanguard Wellington Inv,19248272540.00,5,0.26,Large
VTABX,Vanguard Total Intl Bd Idx Admiral,18569418744.00,5,0.14,Large
VGSTX,Vanguard STAR Inv,18513132897.00,4,0.34,Large
VGSLX,Vanguard REIT Index Adm,18358314888.00,4,0.12,Large
VFIJX,Vanguard GNMA Adm,18212928410.00,4,0.11,Large
PRFDX,T. Rowe Price Equity Income,18043447788.00,3,0.66,Large
VTSNX,Vanguard Total Intl Stock Index I,17844608524.00,3,0.10,Large
MALOX,BlackRock Global Allocation Instl,17826355256.00,4,0.87,Large
SMCWX,American Funds SMALLCAP World A,17482743521.00,3,1.07,Large
VTXVX,Vanguard Target Retirement 2015 Inv,17367738897.00,4,0.14,Large
VIGAX,Vanguard Growth Index Adm,17293024735.00,4,0.08,Large
VBIAX,Vanguard Balanced Index Adm,17120001437.00,5,0.08,Large
MWTRX,Metropolitan West Total Return Bond M,16961836684.00,5,0.69,Large
VEIRX,Vanguard Equity-Income Adm,16761769514.00,5,0.17,Large
PAAIX,PIMCO All Asset Instl,16527566603.00,3,0.87,Large
VFORX,Vanguard Target Retirement 2040 Inv,16400492926.00,4,0.16,Large
TRRHX,T. Rowe Price Retirement 2025,16270211523.00,4,0.69,Large
FPACX,FPA Crescent,16261821465.00,4,1.09,Large
SGENX,First Eagle Global A,15874698588.00,5,1.11,Large
TPINX,Templeton Global Bond A,15571928724.00,3,0.89,Large
OAKBX,Oakmark Equity & Income I,15446271343.00,4,0.75,Large
FGCKX,Fidelity Growth Company K,15127417020.00,4,0.77,Large
VTIVX,Vanguard Target Retirement 2045 Inv,15087517699.00,4,0.16,Large
VWEAX,Vanguard High-Yield Corporate Adm,15027640534.00,5,0.13,Large
OAKMX,Oakmark I,15009496097.00,3,0.85,Large
VEMPX,Vanguard Extended Market Idx InstlPlus,14771513216.00,3,0.05,Large
PRNHX,T. Rowe Price New Horizons,14550033253.00,5,0.79,Large
VWILX,Vanguard International Growth Adm,14546575845.00,3,0.34,Large
MDLOX,BlackRock Global Allocation Inv A,14272255294.00,3,1.14,Large
VWNFX,Vanguard Windsor II Inv,14083164567.00,3,0.34,Large
DODBX,Dodge & Cox Balanced,13924408100.00,4,0.53,Large
VWINX,Vanguard Wellesley Income Inv,13739691905.00,5,0.23,Large
VEXAX,Vanguard Extended Market Idx Adm,13710602931.00,3,0.09,Large
FBGRX,Fidelity Blue Chip Growth,13558021431.00,4,0.89,Large
TRRDX,T. Rowe Price Retirement 2040,13164874000.00,4,0.75,Large
FSEVX,Fidelity Spartan Extnd Mkt Idx Advtg,13084970594.00,3,0.07,Large
VMCIX,Vanguard Mid Cap Index I,12937764798.00,4,0.07,Mid
ODVYX,Oppenheimer Developing Markets Y,12830999417.00,4,1.05,Mid
FMAGX,Fidelity Magellan,12763751052.00,2,0.85,Mid
VSMGX,Vanguard LifeStrategy Moderate Gr Inv,12723904649.00,3,0.14,Mid
TRLGX,T. Rowe Price Instl Large Cap Growth,12559376057.00,4,0.56,Mid
DLTNX,DoubleLine Total Return Bond N,12272460854.00,5,0.72,Mid
MINIX,MFS International Value I,12096044463.00,5,0.78,Mid
FKTFX,Franklin CA Tax-Free Income A,12011450089.00,4,0.58,Mid
MCLOX,BlackRock Global Allocation Inv C,11923467109.00,3,1.88,Mid
VBILX,Vanguard Interm-Term Bond Index Adm,11866794225.00,5,0.09,Mid
TRRJX,T. Rowe Price Retirement 2035,11841494833.00,5,0.74,Mid
FFFDX,Fidelity Freedom 2020,11719607844.00,3,0.67,Mid
PRHSX,T. Rowe Price Health Sciences,11696140531.00,5,0.76,Mid
VAIPX,Vanguard Inflation-Protected Secs Adm,11545381104.00,4,0.10,Mid
FESGX,First Eagle Global C,11536269806.00,4,1.86,Mid
VASGX,Vanguard LifeStrategy Growth Inv,11508446812.00,4,0.15,Mid
MADVX,BlackRock Equity Dividend Instl,11489665641.00,4,0.70,Mid
FRDPX,Franklin Rising Dividends A,11456336118.00,3,0.92,Mid
VWNEX,Vanguard Windsor Admiral,11446899070.00,3,0.29,Mid
VVIAX,Vanguard Value Index Adm,11446395254.00,4,0.08,Mid
FDIVX,Fidelity Diversified International,11198258600.00,3,1.00,Mid
VMCPX,Vanguard Mid Cap Index InstlPlus,11183856203.00,5,0.05,Mid
VGHCX,Vanguard Health Care Inv,11054806931.00,4,0.36,Mid
LALDX,Lord Abbett Short Duration Income A,11019072540.00,4,0.60,Mid
NEWFX,American Funds New World A,10915114968.00,5,1.04,Mid
VSCIX,Vanguard Small Cap Index I,10901529457.00,4,0.07,Mid
TEDIX,Franklin Mutual Global Discovery A,10614350699.00,4,1.24,Mid
TRMCX,T. Rowe Price Mid-Cap Value,10555750794.00,5,0.80,Mid
TEPLX,Templeton Growth A,10544639206.00,1,1.05,Mid
VTINX,Vanguard Target Retirement Income Inv,10527205716.00,5,0.14,Mid
VHCAX,Vanguard Capital Opportunity Adm,10455918665.00,4,0.38,Mid
FLMVX,JPMorgan Mid Cap Value Instl,10309928701.00,5,0.75,Mid
LSBDX,Loomis Sayles Bond Instl,10237349553.00,3,0.64,Mid
FFFEX,Fidelity Freedom 2030,10217763430.00,3,0.75,Mid
FAGIX,Fidelity Capital & Income,10105363953.00,5,0.75,Mid
REREX,American Funds Europacific Growth R4,9960669507.00,3,0.85,Mid
FBIOX,Fidelity Select Biotechnology Portfolio,9833324678.00,3,0.73,Mid
PONDX,PIMCO Income D,9796297965.00,5,0.79,Mid
ACEIX,Invesco Equity and Income A,9751431481.00,3,0.80,Mid
VFSTX,Vanguard Short-Term Investment-Grade Inv,9648694128.00,4,0.20,Mid
ANEFX,American Funds New Economy A,9607742260.00,2,0.78,Mid
GSZIX,Goldman Sachs Strategic Income Instl,9477737108.00,3,0.57,Mid
VIGIX,Vanguard Growth Index I,9415844658.00,4,0.07,Mid
LZEMX,Lazard Emerging Markets Equity Instl,9244234524.00,3,1.10,Mid
FOCPX,Fidelity OTC Portfolio,9087947892.00,5,0.83,Mid
PRBLX,Parnassus Core Equity Investor,8958080459.00,5,0.87,Mid
VIEIX,Vanguard Extended Market Idx I,8926035926.00,3,0.07,Mid
VFIFX,Vanguard Target Retirement 2050 Inv,8922101835.00,4,0.16,Mid
TBGVX,"Tweedy, Browne Global Value",8872281960.00,5,1.37,Mid
YACKX,AMG Yacktman Service,8811791120.00,4,0.74,Mid
VASVX,Vanguard Selected Value Inv,8774461926.00,4,0.39,Mid
VTMGX,Vanguard Developed Markets Idx Admiral,8732084865.00,4,0.09,Mid
RERFX,American Funds Europacific Growth R5,8587193379.00,4,0.54,Mid
VFIIX,Vanguard GNMA Inv,8544282760.00,4,0.21,Mid
FKTIX,Franklin Federal Tax-Free Income A,8425809100.00,3,0.62,Mid
ARTIX,Artisan International Investor,8402153791.00,3,1.17,Mid
TRRGX,T. Rowe Price Retirement 2015,8366085374.00,4,0.62,Mid
OTCFX,T. Rowe Price Small-Cap Stock,8348327745.00,4,0.90,Mid
FSITX,Fidelity Spartan US Bond Idx Advtg,8322834248.00,3,0.05,Mid
VEMAX,Vanguard Emerging Mkts Stock Idx Adm,8282217063.00,3,0.15,Mid
FSIVX,Fidelity Spartan Intl Idx Advtg,8204230212.00,3,0.08,Mid
VGSNX,Vanguard REIT Index I,7964365439.00,4,0.10,Mid
VAFAX,Invesco American Franchise A,7925708469.00,2,1.05,Mid
VSCGX,Vanguard LifeStrategy Cnsrv Gr Inv,7917595862.00,4,0.13,Mid
VPCCX,Vanguard PRIMECAP Core Inv,7883580590.00,4,0.47,Mid
VIVIX,Vanguard Value Index I,7674250129.00,4,0.07,Mid
TWCUX,American Century Ultra Inv,7649803826.00,4,0.98,Mid
FKGRX,Franklin Growth A,7637729854.00,3,0.88,Mid
VTRIX,Vanguard International Value Inv,7631273481.00,3,0.46,Mid
DFFVX,DFA US Targeted Value I,7613006929.00,3,0.37,Mid
PONAX,PIMCO Income A,7608090475.00,5,0.85,Mid
FSICX,Fidelity Strategic Income,7449294466.00,4,0.71,Mid
PTTAX,PIMCO Total Return A,7424935028.00,3,0.85,Mid
FSPHX,Fidelity Select Health Care Portfolio,7422917830.00,4,0.73,Mid
VSIAX,Vanguard Small Cap Value Index Admiral,7416818605.00,5,0.08,Mid
MDISX,Franklin Mutual Global Discovery Z,7351668026.00,4,0.99,Mid
VEXRX,Vanguard Explorer Adm,7309709743.00,3,0.35,Mid
PRHYX,T. Rowe Price High-Yield,7187573303.00,4,0.74,Mid
BALCX,American Funds American Balanced C,7183238843.00,5,1.38,Mid
FDVLX,Fidelity Value,7056540268.00,3,0.84,Mid
PONCX,PIMCO Income C,6964472520.00,5,1.60,Mid
TRRKX,T. Rowe Price Retirement 2045,6915730244.00,4,0.75,Mid
MUTHX,Franklin Mutual Shares Z,6888073583.00,4,0.81,Mid
LDLAX,Lord Abbett Short Duration Income C,6851481603.00,4,1.25,Mid
VGELX,Vanguard Energy Adm,6747307030.00,4,0.31,Mid
PRSVX,T. Rowe Price Small-Cap Value,6724662160.00,4,0.92,Mid
VBMFX,Vanguard Total Bond Market Index Inv,6631071243.00,3,0.16,Mid
ODMAX,Oppenheimer Developing Markets A,6618464318.00,4,1.30,Mid
FIGRX,Fidelity International Discovery,6491385843.00,3,0.99,Mid
SNXFX,Schwab 1000 Index,6458666555.00,4,0.29,Mid
NYVTX,Davis NY Venture A,6458047153.00,2,0.86,Mid
VWIGX,Vanguard International Growth Inv,6443729828.00,3,0.47,Mid
FFFFX,Fidelity Freedom 2040,6441251236.00,3,0.77,Mid
ACSTX,Invesco Comstock A,6375517741.00,2,0.83,Mid
FGMNX,Fidelity GNMA,6318208993.00,4,0.45,Mid
POAGX,PRIMECAP Odyssey Aggressive Growth,6317658427.00,5,0.62,Mid
TWEIX,American Century Equity Income Inv,6279043252.00,5,0.93,Mid
RPSIX,T. Rowe Price Spectrum Income,6267013032.00,4,0.69,Mid
CIBCX,American Funds Capital Inc Bldr C,6246303456.00,4,1.38,Mid
POGRX,PRIMECAP Odyssey Growth,6192767190.00,4,0.64,Mid
IFACX,American Funds Inc Fund of Amer C,6111182837.00,4,1.35,Mid
VSGAX,Vanguard Small Cap Growth Index Admiral,6055637920.00,4,0.08,Mid
CSRSX,Cohen & Steers Realty Shares,5960778198.00,4,0.96,Mid
TRREX,T. Rowe Price Real Estate,5945681681.00,4,0.76,Mid
MDDVX,BlackRock Equity Dividend Inv A,5931655307.00,4,0.97,Mid
PRRIX,PIMCO Real Return Instl,5779837834.00,5,0.45,Mid
VTENX,Vanguard Target Retirement 2010 Inv,5748117720.00,5,0.14,Mid
FDGFX,Fidelity Dividend Growth,5747986597.00,2,0.69,Mid
VSEQX,Vanguard Strategic Equity Inv,5717654076.00,4,0.21,Mid
FFRHX,Fidelity Floating Rate High Income,5710219358.00,4,0.70,Mid
JANDX,Janus D,5701160539.00,3,0.77,Mid
TIBCX,Thornburg Investment Income Builder C,5559689246.00,3,2.06,Mid
PTRAX,PIMCO Total Return Admin,5469097811.00,4,0.71,Mid
VEIPX,Vanguard Equity-Income Inv,5445297543.00,5,0.26,Mid
LAFFX,Lord Abbett Affiliated A,5416649327.00,2,0.74,Mid
VHDYX,Vanguard High Dividend Yield Index Inv,5406513800.00,5,0.16,Mid
POSKX,PRIMECAP Odyssey Stock,5400178164.00,4,0.65,Mid
MSIGX,Oppenheimer Main Street A,5378303414.00,3,0.94,Mid
FGRIX,Fidelity Growth & Income Portfolio,5326551260.00,2,0.67,Mid
PMEGX,T. Rowe Price Instl Mid-Cap Equity Gr,5294263061.00,5,0.61,Mid
FSCRX,Fidelity Small Cap Discovery,5223891925.00,5,1.01,Mid
FRESX,Fidelity Real Estate Investment Port,5212853639.00,4,0.78,Mid
PTTDX,PIMCO Total Return D,5198345638.00,4,0.75,Mid
FMCSX,Fidelity Mid-Cap Stock,5160039708.00,4,0.73,Mid
TWCGX,American Century Growth Inv,5156163073.00,4,0.97,Mid
PCRIX,PIMCO Commodity Real Ret Strat Instl,5046315191.00,3,0.74,Mid
FDCAX,Fidelity Capital Appreciation,4999308754.00,3,0.83,Mid
JNBCX,JPMorgan Income Builder C,4987727111.00,3,1.25,Small
GFACX,American Funds Growth Fund of Amer C,4941328969.00,3,1.45,Small
FUSEX,Fidelity Spartan 500 Index Inv,4920010324.00,4,0.09,Small
